ID,Object _ID,Pincode,Office Name,office type,Circle Name,Region name,Division name,State,Distrct,Country,Lattitude,Longitude,Area,Length,Shape,Total Households,Total Population,Male Population,Female Population
700074,11249,700074,Dumdum Road,S.O,West Bengal Circle,Kolkata Region,Kolkata North Division,West Bengal,24 Paraganas North,India,22.621211,88.406351,1819178.297,6366.488295,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700076,11251,700076,Dakshineswar,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.659745,88.366375,3179759.661,7307.685972,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700077,11252,700077,Bediapara,S.O,West Bengal Circle,Kolkata Region,Kolkata North Division,West Bengal,24 Paraganas North,India,22.631369,88.397442,639131.8424,4321.66218,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700079,11254,700079,Italghacha,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.649217,88.428633,1798397.975,6623.730213,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700080,11255,700080,Jessore Road,S.O,West Bengal Circle,Kolkata Region,Kolkata North Division,West Bengal,24 Paraganas North,India,22.625847,88.422845,1069175.487,5211.439604,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700081,11256,700081,Rajbari Colony,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.644868,88.419771,697724.8312,4449.645894,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700132,11258,700132,Ganganagar North 24 Parganas,S.O,West Bengal Circle,Kolkata Region,Barasat Division,West Bengal,24 Paraganas North,India,22.667719,88.466908,4485098.374,12272.51022,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700133,11259,700133,Michealnagar,S.O,West Bengal Circle,Kolkata Region,Barasat Division,West Bengal,24 Paraganas North,India,22.679113,88.443999,3347540.066,9945.072055,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700134,11260,700134,Nilachal,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.66862,88.432891,275908.0389,2587.600528,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700135,11261,700135,Rajarhat,S.O,West Bengal Circle,Kolkata Region,Barasat Division,West Bengal,24 Paraganas North,India,22.588651,88.542208,168920185.2,108468.9641,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700157,11270,700157,Hatiara,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.61424,88.450255,3513576.898,8256.823402,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700158,11271,700158,Bisharpara,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.664956,88.437448,1497390.398,6346.789696,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700159,11272,700159,Aswini Nagar,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.607884,88.431662,672929.3822,4028.78646,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700161,11273,700161,New Town Action Area II,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.596225,88.468392,3630857.583,9982.90794,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700162,11274,700162,Gouranganagar,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.594599,88.455236,4358787.487,8630.749058,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700083,11281,700083,East Belghoria,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.671804,88.397034,2458461.35,8107.565762,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700089,11288,700089,Lake Town North 24 Parganas,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.602409,88.406699,1087513.979,7352.996281,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700090,11289,700090,Netaji Colony,S.O,West Bengal Circle,Kolkata Region,Kolkata North Division,West Bengal,24 Paraganas North,India,22.63876,88.389188,4163009.079,10516.06926,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700091,11290,700091,Nabadiganta IT,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.582623,88.42891,5669960.409,11558.97408,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700097,11296,700097,Purbachal,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.575781,88.4075,1028087.995,4549.448353,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700102,11297,700102,Krishnapur North 24 Parganas,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.593189,88.438467,3474248.746,8746.849769,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700114,11301,700114,Bangodaya,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.690236,88.392805,2424990.599,7581.534159,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700115,11303,700115,Sukchar North 24 Parganas,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.704173,88.372785,2174970.045,6811.928555,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700116,11304,700116,BD Sopan,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.71342,88.372241,1614654.251,5569.605381,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700117,11306,700117,Jeliapara,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.723285,88.36703,4070009.571,9513.574259,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700118,11307,700118,Rahara,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.729213,88.388041,5509216.517,12251.45682,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700123,11308,700123,Barrackpore R S,S.O,West Bengal Circle,Kolkata Region,North Presidency Division,West Bengal,24 Paraganas North,India,22.785354,88.383715,2542108.764,9382.754031,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700130,11310,700130,Madhyamgram Bazar,S.O,West Bengal Circle,Kolkata Region,Barasat Division,West Bengal,24 Paraganas North,India,22.701241,88.45077,6493256.623,13868.17294,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
700048,11316,700048,Patipukur,S.O,West Bengal Circle,Kolkata Region,Kolkata East Division,West Bengal,24 Paraganas North,India,22.600356,88.397761,1657380.953,6006.863538,Polygon,16310.2986,69512.3681,35551.3125,33961.0556
